DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,IS_SAND,IS_SHALE,K_MINERAL,RHO_FLUID,K_FLUID,VP_FRM_BRINE,VS_FRM_BRINE,RHO_FRM_BRINE,KDRY_FRM_BRINE,LFC_BRINE,VP_FRM_OIL,VS_FRM_OIL,RHO_FRM_OIL,KDRY_FRM_OIL,LFC_OIL,VP_FRM_GAS,VS_FRM_GAS,RHO_FRM_GAS,KDRY_FRM_GAS,LFC_GAS,IP_FRM_BRINE,VPVS_FRM_BRINE,IP_FRM_OIL,VPVS_FRM_OIL,IP_FRM_GAS,VPVS_FRM_GAS,KDRY_MU_RATIO
2013.4052,2296.7,943.0,2.0455,86.8004,0.4833,2.240103999999997,1.0,1.0,2.435524920466596,5144.846856799993,2112.4180719999968,0.4360098974293231,2.719761583588692,1.09,0.2943115044671145,4,False,True,21.40891760697636,1.09,2.8,2296.7,943.0,2.240103999999997,,4,2296.7,943.0,2.240103999999997,,4,2296.7,943.0,2.240103999999997,,4,5144.846856799993,2.435524920466596,5144.846856799993,2.435524920466596,5144.846856799993,2.435524920466596,
2013.5576,2290.4,912.5,2.1122,86.0021,0.4474,2.2422880000000003,1.0,1.0,2.510027397260274,5135.7364352,2046.0878,0.4269531369654917,2.7183125019144785,1.09,0.2923422262955024,4,False,True,21.678245658148736,1.09,2.8,2290.4,912.5,2.2422880000000003,,4,2290.4,912.5,2.2422880000000003,,4,2290.4,912.5,2.2422880000000003,,4,5135.7364352,2.510027397260274,5135.7364352,2.510027397260274,5135.7364352,2.510027397260274,
2013.71,2277.5,891.5999999999997,2.196,87.35700000000001,0.414,2.2428,1.0,1.0,2.554396590399283,5107.977,1999.68048,0.4423245571739912,2.7207719291478387,1.09,0.2930955093135577,4,False,True,21.26393165305526,1.09,2.8,2277.5,891.5999999999997,2.2428,,4,2277.5,891.5999999999997,2.2428,,4,2277.5,891.5999999999997,2.2428,,4,5107.977,2.554396590399283,5107.977,2.554396590399283,5107.977,2.554396590399283,
2013.8624,2262.0,890.5,2.202,90.4024,0.4293,2.240064,1.0,1.0,2.54014598540146,5067.024767999999,1994.7769920000003,0.476874799334272,2.726299967893484,1.09,0.2971557644894703,4,False,True,20.30919034948713,1.09,2.8,2262.0,890.5,2.240064,,4,2262.0,890.5,2.240064,,4,2262.0,890.5,2.240064,,4,5067.024767999999,2.54014598540146,5067.024767999999,2.54014598540146,5067.024767999999,2.54014598540146,
2014.0148,2263.1,863.1,2.1667,93.3074,0.4746,2.2374080000000025,1.0,1.0,2.6220600162206,5063.478044800006,1931.106844800002,0.5098321952348484,2.731573151237576,1.09,0.3010314531917289,4,False,True,19.41460670945837,1.09,2.8,2263.1,863.1,2.2374080000000025,,4,2263.1,863.1,2.2374080000000025,,4,2263.1,863.1,2.2374080000000025,,4,5063.478044800006,2.6220600162206,5063.478044800006,2.6220600162206,5063.478044800006,2.6220600162206,
2014.1672,2256.7,817.5,2.137,91.9733,0.501,2.234,1.0,1.0,2.760489296636085,5041.467799999999,1826.295,0.4946967522500087,2.7291514803600005,1.09,0.3020779264715992,4,False,True,19.773483866958458,1.09,2.8,2256.7,817.5,2.234,,4,2256.7,817.5,2.234,,4,2256.7,817.5,2.234,,4,5041.467799999999,2.760489296636085,5041.467799999999,2.760489296636085,5041.467799999999,2.760489296636085,
2014.3196,2248.9,810.6,2.1302,88.62700000000002,0.473,2.2338039999999992,1.0,1.0,2.7743646681470517,5023.601815599998,1810.7215223999997,0.4567327818878404,2.723077245102054,1.09,0.2996020222371535,4,False,True,20.78289528235898,1.09,2.8,2248.9,810.6,2.2338039999999992,,4,2248.9,810.6,2.2338039999999992,,4,2248.9,810.6,2.2338039999999992,,4,5023.601815599998,2.7743646681470517,5023.601815599998,2.7743646681470517,5023.601815599998,2.7743646681470517,
2014.472,2239.1,790.2,2.1424,84.5827,0.4236,2.2322800000000003,1.0,1.0,2.833586433814224,4998.298148000001,1763.9476560000005,0.4108499604624699,2.715735993673995,1.09,0.2973766931132738,4,False,True,22.02690039662576,1.09,2.8,2239.1,790.2,2.2322800000000003,,4,2239.1,790.2,2.2322800000000003,,4,2239.1,790.2,2.2322800000000003,,4,4998.298148000001,2.833586433814224,4998.298148000001,2.833586433814224,4998.298148000001,2.833586433814224,
2014.6244,2242.9,725.3,2.2003,84.5907,0.4114,2.2302680000000006,1.0,1.0,3.092375568730181,5002.268097200002,1617.6133804000006,0.4109407209331084,2.7157505153492973,1.09,0.2986205514103678,4,False,True,22.004906909544715,1.09,2.8,2242.9,725.3,2.2302680000000006,,4,2242.9,725.3,2.2302680000000006,,4,2242.9,725.3,2.2302680000000006,,4,5002.268097200002,3.092375568730181,5002.268097200002,3.092375568730181,5002.268097200002,3.092375568730181,
2014.7769,2234.6,725.3,2.2142,84.4878,0.4429999999999999,2.2283845,1.0,1.0,3.0809320281262926,4979.548003700001,1616.24727785,0.4097733143795216,2.7155637303007234,1.09,0.2996986345226814,4,False,True,22.01933034364481,1.09,2.8,2234.6,725.3,2.2283845,,4,2234.6,725.3,2.2283845,,4,2234.6,725.3,2.2283845,,4,4979.548003700001,3.0809320281262926,4979.548003700001,3.0809320281262926,4979.548003700001,3.0809320281262926,
2014.9292,2195.600000000001,688.8,2.1851,86.194,0.506,2.2284160000000006,1.0,1.0,3.187572590011616,4892.710169600004,1534.9329408000006,0.4291302537549309,2.7186608406007893,1.09,0.3010110075587893,4,False,True,21.481407133914395,1.09,2.8,2195.600000000001,688.8,2.2284160000000006,,4,2195.600000000001,688.8,2.2284160000000006,,4,2195.600000000001,688.8,2.2284160000000006,,4,4892.710169600004,3.187572590011616,4892.710169600004,3.187572590011616,4892.710169600004,3.187572590011616,
2015.0815,2181.8,762.2,2.1432,83.5144,0.532,2.2229250000000005,1.0,1.0,2.862503279979008,4849.977765000001,1694.3134350000007,0.3987300341145919,2.7137968054583346,1.09,0.3022987875134909,4,False,True,22.27786258073963,1.09,2.8,2181.8,762.2,2.2229250000000005,,4,2181.8,762.2,2.2229250000000005,,4,2181.8,762.2,2.2229250000000005,,4,4849.977765000001,2.862503279979008,4849.977765000001,2.862503279979008,4849.977765000001,2.862503279979008,
