DEPTH,VP,RHO,GR,IP_ORIGINAL,VSH,RHOm,RHOf,PHIE,VS,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VPVS,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
1993.4408,2079.13,1.9281,90.1655,4008.770553,0.274303442922,2.69388855087,1.09,0.477457458284,732.9355697000001,1.0,4,23.178158537978838,1.09,2.8,4008.770553,2.836715921497731,2079.13,732.9355697000001,1.9281,4,2079.13,732.9355697000001,1.9281,4,2079.13,732.9355697000001,1.9281,4,4008.770553,4008.770553,4008.770553,2.836715921497731,2.836715921497731,2.836715921497731,1.0
1993.59314,2115.2,1.935,88.5734,4092.912,0.260385414263,2.69166166628,1.09,0.472422910663,760.6982879999998,1.0,4,23.802606801285286,1.09,2.8,4092.912,2.780603076630035,2115.2,760.6982879999998,1.935,4,2115.2,760.6982879999998,1.935,4,2115.2,760.6982879999998,1.935,4,4092.912,4092.912,4092.912,2.780603076630035,2.780603076630035,2.780603076630035,1.0
1993.74561,2107.88,1.9673,87.8842,4146.832324,0.254360475281,2.69069767605,1.09,0.451926486101,755.0641572000002,1.0,4,24.40236600304008,1.09,2.8,4146.832324,2.7916568147223924,2107.88,755.0641572000002,1.9673,4,2107.88,755.0641572000002,1.9673,4,2107.88,755.0641572000002,1.9673,4,4146.832324,4146.832324,4146.832324,2.7916568147223924,2.7916568147223924,2.7916568147223924,1.0
1993.89795,2115.2,2.0009,86.3861,4232.30368,0.241264188154,2.6886022701,1.09,0.430189724465,760.6982879999998,1.0,4,25.255158150428155,1.09,2.8,4232.30368,2.780603076630035,2115.2,760.6982879999998,2.0009,4,2115.2,760.6982879999998,2.0009,4,2115.2,760.6982879999998,2.0009,4,4232.30368,4232.30368,4232.30368,2.780603076630035,2.780603076630035,2.780603076630035,1.0
1994.05042,2131.47,2.0187,84.6319,4302.798489,0.225929092448,2.68614865479,1.09,0.41816196304,773.2211442999998,1.0,4,26.01579098962686,1.09,2.8,4302.798489,2.7566111140553824,2131.47,773.2211442999998,2.0187,4,2131.47,773.2211442999998,2.0187,4,2131.47,773.2211442999998,2.0187,4,4302.798489,4302.798489,4302.798489,2.7566111140553824,2.7566111140553824,2.7566111140553824,1.0
1994.20276,2137.45,2.02,87.1546,4317.649,0.24798236228,2.68967717796,1.09,0.418632701141,777.8238905,1.0,4,25.188311558057116,1.09,2.8,4317.648999999999,2.747987077930978,2137.45,777.8238905,2.02,4,2137.45,777.8238905,2.02,4,2137.45,777.8238905,2.02,4,4317.648999999999,4317.648999999999,4317.648999999999,2.747987077930978,2.747987077930978,2.747987077930978,1.0
1994.35522,2163.24,2.0087,85.6961,4345.300188,0.235232255628,2.6876371609,1.09,0.424963300502,797.6741955999996,1.0,4,25.56287675978864,1.09,2.8,4345.300188,2.71193428586823,2163.24,797.6741955999996,2.0087,4,2163.24,797.6741955999996,2.0087,4,2163.24,797.6741955999996,2.0087,4,4345.300188,4345.300188,4345.300188,2.71193428586823,2.71193428586823,2.71193428586823,1.0
1994.50757,2200.72,1.9872,88.7903,4373.270784,0.262281539139,2.69196504626,1.09,0.439937842531,826.5221768,1.0,4,24.315789914038003,1.09,2.8,4373.270783999999,2.662626680533129,2200.72,826.5221768,1.9872,4,2200.72,826.5221768,1.9872,4,2200.72,826.5221768,1.9872,4,4373.270783999999,4373.270783999999,4373.270783999999,2.662626680533129,2.662626680533129,2.662626680533129,1.0
1994.66003,2244.48,1.9525,91.3032,4382.3472,0.284249138046,2.69547986209,1.09,0.462777440959,860.2038111999998,1.0,4,23.096317625274622,1.09,2.8,4382.3472,2.6092421014374607,2244.48,860.2038111999998,1.9525,4,2244.48,860.2038111999998,1.9525,4,2244.48,860.2038111999998,1.9525,4,4382.3472,4382.3472,4382.3472,2.6092421014374607,2.6092421014374607,2.6092421014374607,1.0
1994.81238,2191.23,1.9317,90.2938,4232.798991,0.275425032695,2.69406800523,1.09,0.475271623613,819.2178187,1.0,4,23.179126862556007,1.09,2.8,4232.798991,2.674783128469078,2191.23,819.2178187,1.9317,4,2191.23,819.2178187,1.9317,4,2191.23,819.2178187,1.9317,4,4232.798991,4232.798991,4232.798991,2.674783128469078,2.674783128469078,2.674783128469078,1.0
