DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP_ORIGINAL,IS,VSH,RHOm,RHOf,PHIE,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2100.072,127.134,312.372,86.778,2.262,2397.47038558,975.759671161,2.4570295908288444,5423.07801218,2207.16837617,0.484500652966,2.72752010447,1.09,0.284283596398,1.0,4,20.336779670751575,1.09,2.8,5423.07801218196,2397.47038558,975.759671161,2.262,4,2397.47038558,975.759671161,2.262,4,2397.47038558,975.759671161,2.262,4,5423.07801218196,5423.07801218196,5423.07801218196,2.4570295908288444,2.4570295908288444,2.4570295908288444,1.0
2100.2244,128.017,313.654,90.658,2.26,2380.93378223,971.771442417,2.450096471561375,5380.91034784,2196.20345986,0.537837652072,2.73605402433,1.09,0.289209234505,1.0,4,18.945219027865583,1.09,2.8,5380.910347839799,2380.93378223,971.771442417,2.26,4,2380.93378223,971.771442417,2.26,4,2380.93378223,971.771442417,2.26,4,5380.910347839799,5380.910347839799,5380.910347839799,2.450096471561375,2.450096471561375,2.450096471561375,1.0
2100.3767,128.512,313.706,102.479,2.267,2371.76294821,971.610361294,2.4410638695240587,5376.78660359,2202.64068905,0.700336792907,2.76205388687,1.09,0.296075318358,1.0,4,15.078865622416568,1.09,2.8,5376.78660359207,2371.76294821,971.610361294,2.267,4,2371.76294821,971.610361294,2.267,4,2371.76294821,971.610361294,2.267,4,5376.78660359207,5376.78660359207,5376.78660359207,2.4410638695240587,2.4410638695240587,2.4410638695240587,1.0
2100.5293,128.534,316.362,114.549,2.272,2371.35699504,963.453259241,2.4613098479817634,5387.72309272,2188.965805,0.866258849405,2.7886014159,1.09,0.304133395314,1.0,4,15.000017846218466,1.09,2.8,5387.72309273088,2371.35699504,963.453259241,2.272,4,2371.35699504,963.453259241,2.272,4,2371.35699504,963.453259241,2.272,4,5387.72309273088,5387.72309273088,5387.72309273088,2.4613098479817634,2.4613098479817634,2.4613098479817634,1.0
2100.6816,128.309,321.356,118.948,2.275,2375.51535746,948.480812557,2.5045476155241047,5404.29743822,2157.79384857,0.926730359475,2.79827685752,1.09,0.306318530989,1.0,4,15.000016681708418,1.09,2.8,5404.2974382215,2375.51535746,948.480812557,2.275,4,2375.51535746,948.480812557,2.275,4,2375.51535746,948.480812557,2.275,4,5404.2974382215,5404.2974382215,5404.2974382215,2.5045476155241047,2.5045476155241047,2.5045476155241047,1.0
2100.834,128.146,323.76,114.12,2.28,2378.53698126,941.438102298,2.526493218676957,5423.06431726,2146.47887324,0.860361536875,2.7876578459,1.09,0.29903425306,1.0,4,15.000017968544515,1.09,2.8,5423.0643172728,2378.53698126,941.438102298,2.28,4,2378.53698126,941.438102298,2.28,4,2378.53698126,941.438102298,2.28,4,5423.0643172728,5423.0643172728,5423.0643172728,2.526493218676957,2.526493218676957,2.526493218676957,1.0
2100.9863,127.758,326.234,112.324,2.282,2385.76057859,934.298693576,2.5535308943423365,5444.30564035,2132.06961874,0.835672554815,2.78370760877,1.09,0.296218548097,1.0,4,15.000018499403916,1.09,2.8,5444.30564034238,2385.76057859,934.298693576,2.282,4,2385.76057859,934.298693576,2.282,4,2385.76057859,934.298693576,2.282,4,5444.30564034238,5444.30564034238,5444.30564034238,2.5535308943423365,2.5535308943423365,2.5535308943423365,1.0
2101.1389,127.097,328.582,117.637,2.276,2398.16832813,927.622328673,2.5852852545719482,5458.23111482,2111.26842006,0.908708502303,2.79539336037,1.09,0.304559272036,1.0,4,15.000017012546184,1.09,2.8,5458.23111482388,2398.16832813,927.622328673,2.276,4,2398.16832813,927.622328673,2.276,4,2398.16832813,927.622328673,2.276,4,5458.23111482388,5458.23111482388,5458.23111482388,2.5852852545719482,2.5852852545719482,2.5852852545719482,1.0
2101.2913,125.948,329.102,116.256,2.267,2420.04636834,926.15663229,2.612999015464838,5486.24511703,2099.5970854,0.889724379682,2.79235590075,1.09,0.308605210296,1.0,4,15.000017375543951,1.09,2.8,5486.24511702678,2420.04636834,926.15663229,2.267,4,2420.04636834,926.15663229,2.267,4,2420.04636834,926.15663229,2.267,4,5486.24511702678,5486.24511702678,5486.24511702678,2.612999015464838,2.612999015464838,2.612999015464838,1.0
2101.4436,125.105,326.421,109.905,2.265,2436.35346309,933.763452719,2.6091762919138133,5518.3405939,2114.97422041,0.802419410269,2.77838710564,1.09,0.304069548936,1.0,4,15.000019266038809,1.09,2.8,5518.34059389885,2436.35346309,933.763452719,2.265,4,2436.35346309,933.763452719,2.265,4,2436.35346309,933.763452719,2.265,4,5518.34059389885,5518.34059389885,5518.34059389885,2.6091762919138133,2.6091762919138133,2.6091762919138133,1.0
